Description,ASIN,Product Description,Manufacturer
uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue),B0B9T7PD7T," Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Printed Compact Laptop Backpack is your perfect companion. It comes in a selection of attractive and bold yet elegant prints that makes it a standout accessory for anyone to carry. It carries a full-sized 16"" macbook & 15 "" normal laptop and comes with spacious compartments for your chargers, accessories, and other electronics Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO₂ emission. Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
uppercase Medium 19L Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Pink),B0B9T4YDPX," Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Printed Compact Laptop Backpack is your perfect companion. It comes in a selection of attractive and bold yet elegant prints that makes it a standout accessory for anyone to carry. It carries a full-sized 16"" macbook & 15 "" normal laptop and comes with spacious compartments for your chargers, accessories, and other electronics Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO₂ emission. Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),B085MHDJ93,This is a modal window.,Amazing Bags
"Claspnclutch Women Multicolor, White Hand-Held Bag (Pack Of: 2) - ( A146 )",B0BGBMBTPL," A Backpack Enables You To Carry Your Belongings Safely. Most Backpacks Are Waterproof, Lightweight And Flexible, And They Provide Maximum Protection For The Products Inside Them. Using A Backpack Also Means That Your Belongings Are Kept Closer To Your Body, Making It Difficult For Thieves To Steal. ",
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),B088B4P6ZW, ₹568.00 ,Martucci
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag college bags",B09QJ7ZF2Y,Delivery Associate will place the order on your doorstep and step back to maintain a 2-meter distance.,
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,B08YZ8FFBZ, ₹899.00 ,"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998"
Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey),B09T2TCSW7,Classic,Half_Moon (AB Amazing Bags)
"uppercase Medium 17L Vegan Leather Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)",B0B69M182Q," Are you bored with the same old U-shaped backpacks? Are you bored with backpacks that are as thin and have no character? If so, we are glad you are reading this. If you frequently travel away from home for a day or need space to carry a pair of clothes, this handcrafted uppercase backpacks is the perfect stylish and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leave you more than enough space to pack all the necessities for an outdoor trip. Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - One spacious compartments that can carry 5+ A3-sized books, a set of clothes, and all your essential chargers and electronics. - Front access pocket for you to easily carry important small items with two bottle holders on the sides. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. - Sturdy enough to stand upright on its own even when it is empty. The superior quality of our materials can be seen and felt while holding the bag. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every vegan leather backpack bought helps reduce 7 1-litre plastic bottles from the planet, helps conserve 89ml of crude oil, and prevents 444g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in ","Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
F Gear Luxur Brown 25 liter Laptop Backpack (2404),B01F7AX9ZA,This is a modal window.,"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590"
